P,T,h,s,k,mu,Cp,gam,rho,R
10,400,1323.72,14.8697,2.35E-05,4.92E-06,3.3093,1.42426,0.00469601,0.985118
10,500,1659.44,15.619,2.84E-05,5.73E-06,3.39926,1.40845,0.0037568,0.985118
10,600,2001.53,16.243,3.25E-05,6.47E-06,3.4415,1.40142,0.00313067,0.985118
10,700,2346.46,16.775,3.62E-05,7.18E-06,3.45884,1.39861,0.00268343,0.985118
10,800,2692.48,17.2374,3.96E-05,7.86E-06,3.46526,1.39758,0.002348,0.985118
10,900,3038.94,17.6457,4.29E-05,8.52E-06,3.46834,1.39708,0.00208711,0.985118
10,1000,3385.7,18.0113,4.61E-05,9.16E-06,3.47183,1.39653,0.0018784,0.985118
10,1100,3732.91,18.3424,4.93E-05,9.78E-06,3.47728,1.39566,0.00170764,0.985118
10,1200,4080.77,18.6453,5.25E-05,1.04E-05,3.48512,1.39442,0.00156534,0.985118
20,400,1323.72,14.1864,2.35E-05,4.92E-06,3.3093,1.42426,0.00939201,0.985118
20,500,1659.44,14.9357,2.84E-05,5.73E-06,3.39926,1.40845,0.00751361,0.985118
20,600,2001.53,15.5597,3.25E-05,6.47E-06,3.4415,1.40142,0.00626134,0.985118
20,700,2346.46,16.0917,3.62E-05,7.18E-06,3.45884,1.39861,0.00536686,0.985118
20,800,2692.48,16.5541,3.96E-05,7.86E-06,3.46526,1.39758,0.00469601,0.985118
20,900,3038.94,16.9624,4.29E-05,8.52E-06,3.46834,1.39708,0.00417423,0.985118
20,1000,3385.7,17.328,4.61E-05,9.16E-06,3.47183,1.39653,0.0037568,0.985118
20,1100,3732.91,17.6591,4.93E-05,9.78E-06,3.47728,1.39566,0.00341528,0.985118
20,1200,4080.77,17.962,5.25E-05,1.04E-05,3.48512,1.39442,0.00313067,0.985118
40,400,1323.72,13.5031,2.35E-05,4.92E-06,3.3093,1.42426,0.018784,0.985118
40,500,1659.44,14.2524,2.84E-05,5.73E-06,3.39926,1.40845,0.0150272,0.985118
40,600,2001.53,14.8764,3.25E-05,6.47E-06,3.4415,1.40142,0.0125227,0.985118
40,700,2346.46,15.4084,3.62E-05,7.18E-06,3.45884,1.39861,0.0107337,0.985118
40,800,2692.48,15.8708,3.96E-05,7.86E-06,3.46526,1.39758,0.00939201,0.985118
40,900,3038.94,16.2791,4.29E-05,8.52E-06,3.46834,1.39708,0.00834845,0.985118
40,1000,3385.7,16.6447,4.61E-05,9.16E-06,3.47183,1.39653,0.00751361,0.985118
40,1100,3732.91,16.9759,4.93E-05,9.78E-06,3.47728,1.39566,0.00683055,0.985118
40,1200,4080.77,17.2787,5.25E-05,1.04E-05,3.48512,1.39442,0.00626134,0.985118
60,400,1323.72,13.1034,2.35E-05,4.92E-06,3.3093,1.42426,0.028176,0.985118
60,500,1659.44,13.8527,2.84E-05,5.73E-06,3.39926,1.40845,0.0225408,0.985118
60,600,2001.53,14.4767,3.25E-05,6.47E-06,3.4415,1.40142,0.018784,0.985118
60,700,2346.46,15.0087,3.62E-05,7.18E-06,3.45884,1.39861,0.0161006,0.985118
60,800,2692.48,15.4711,3.96E-05,7.86E-06,3.46526,1.39758,0.014088,0.985118
60,900,3038.94,15.8794,4.29E-05,8.52E-06,3.46834,1.39708,0.0125227,0.985118
60,1000,3385.7,16.245,4.61E-05,9.16E-06,3.47183,1.39653,0.0112704,0.985118
60,1100,3732.91,16.5762,4.93E-05,9.78E-06,3.47728,1.39566,0.0102458,0.985118
60,1200,4080.77,16.879,5.25E-05,1.04E-05,3.48512,1.39442,0.00939201,0.985118
80,400,1323.72,12.8198,2.35E-05,4.92E-06,3.3093,1.42426,0.037568,0.985118
80,500,1659.44,13.5691,2.84E-05,5.73E-06,3.39926,1.40845,0.0300544,0.985118
80,600,2001.53,14.1931,3.25E-05,6.47E-06,3.4415,1.40142,0.0250454,0.985118
80,700,2346.46,14.7251,3.62E-05,7.18E-06,3.45884,1.39861,0.0214675,0.985118
80,800,2692.48,15.1875,3.96E-05,7.86E-06,3.46526,1.39758,0.018784,0.985118
80,900,3038.94,15.5958,4.29E-05,8.52E-06,3.46834,1.39708,0.0166969,0.985118
80,1000,3385.7,15.9614,4.61E-05,9.16E-06,3.47183,1.39653,0.0150272,0.985118
80,1100,3732.91,16.2926,4.93E-05,9.78E-06,3.47728,1.39566,0.0136611,0.985118
80,1200,4080.77,16.5954,5.25E-05,1.04E-05,3.48512,1.39442,0.0125227,0.985118
100,400,1323.72,12.5999,2.35E-05,4.92E-06,3.3093,1.42426,0.0469601,0.985118
100,500,1659.44,13.3491,2.84E-05,5.73E-06,3.39926,1.40845,0.037568,0.985118
100,600,2001.53,13.9731,3.25E-05,6.47E-06,3.4415,1.40142,0.0313067,0.985118
100,700,2346.46,14.5052,3.62E-05,7.18E-06,3.45884,1.39861,0.0268343,0.985118
100,800,2692.48,14.9675,3.96E-05,7.86E-06,3.46526,1.39758,0.02348,0.985118
100,900,3038.94,15.3759,4.29E-05,8.52E-06,3.46834,1.39708,0.0208711,0.985118
100,1000,3385.7,15.7415,4.61E-05,9.16E-06,3.47183,1.39653,0.018784,0.985118
100,1100,3732.91,16.0726,4.93E-05,9.78E-06,3.47728,1.39566,0.0170764,0.985118
100,1200,4080.77,16.3755,5.25E-05,1.04E-05,3.48512,1.39442,0.0156534,0.985118
